,id_str,user.id,user_retweeters,Clase
0,1364000806740111363,252168075,"['1238117630696972289', '37232479', '1279224657124753408', '1299172647583051777', '920281298735976449', '145461175', '4824382060', '147385733', '1118888183343853569', '418899788', '3991086621', '881308200095678466', '1537340682', '2811705634', '2744470601', '1544714364', '885963124754567168', '148461640', '177648210', '606632391', '2520619430', '849688115967078400', '1174097745948422145', '2232463863', '853780872268582918', '1038901266', '158218244', '2229256457', '307409107', '114477009', '148839779', '327180205', '833159505332563968', '156054222', '158578695', '2840280909', '967145407', '1110543608703303682', '2699291461', '1348389929143906305', '1014581050289410048', '2923041125', '3416293883', '174754723']",0
1,1369717701002866690,252168075,"['92138339', '175236893', '1280585875131437067', '1118000179565744128', '1334687222', '890391850720399360', '1066416564268867586', '2353140334', '1138474230755078145', '861545786', '1059168774975356933', '820742448', '74160925', '1348710270194102273', '128200699', '1360287269622599684', '1274929120070303744', '2642979744', '1274174042162049024', '2947440729', '1167550233980616704', '1346524009429610497', '1205897942697218048', '996126800911757312', '4198216397', '427704403', '843217760708628480', '3155840833', '756543198927982592', '1055252819417186304', '1189657324509650945', '1147845205321748480', '142449943', '3105429461', '1939348687', '2229256457', '105301854', '1252579516356145153', '1369358752395169792', '68957648', '151117172', '835122943822725122', '1189607160851943424', '766327001661800448', '547180928']",0
2,1369717867957125123,252168075,"['2870052210', '1334687222', '2989938288', '835122943822725122', '753717727135731716', '1188801412337225729', '720261541669437440', '75663291', '4078995195', '3730680382', '2374631185', '1570468878', '951684107595075585', '1366576114106269697', '1252522040', '1496746326', '2924312545', '476169468', '3416293883', '211531918', '167147663', '67453509', '1132084412068368384', '202394218', '496975050', '2683902000', '899458509766619136', '3691307475', '4002710602', '1233264558707527681', '1128128054830743553', '367396547', '3437292147', '359723186', '1015330438552932352', '1320428386196590594', '2554513900', '3188393710', '1335975353463005184', '1239091746', '993887238', '1165451914693304320', '158368290', '994751288608022529', '844660166276628480']",0
3,1364912411778686979,252168075,"['860360141350334464', '896803531872755713', '67046167', '1192415849400938496', '304709990', '2591131', '2325615368', '836395228047233024', '91413787', '4594387049']",0
4,1363144411148918790,252168075,"['1070459253692030976', '1348710270194102273', '2257128927', '476169468', '158368290', '1360287269622599684', '172947580', '1239091746', '1419082244', '66505699', '2569976082', '66399906', '389616717', '797382318', '759399835418124288', '138625713', '1042532093681528832', '1290798851788623874', '3183428020', '906196788805324800', '114526580', '1400004090', '1126457795958726656', '1023341334994796544', '3349458881', '1106656363567042561', '140713442', '1263526453997600768', '145423533', '1354105134138187782', '55847657', '870051988528123906', '996873847658958848', '1465475142', '2440554210', '228633012', '738148403729686529']",0
5,1363144617231794178,252168075,"['1290798851788623874', '1400004090', '312707665', '863052050044792837', '1167510078649487361', '1188801412337225729', '2439009551', '849675878061793285', '1129083951354658818', '315864204', '2595312323', '1252422390946115584', '1353838551151108097', '3397847596', '2724434380', '1241560483', '162856387', '145040858', '2783159023', '238385183', '67453509', '1423221576', '734388470458818561', '1230270619201212423', '562200059', '1211856289975767040', '165230126', '951268815794589697', '946420979135385601', '979750171348291584', '1233634360609398784', '1199687449884217344', '180497066']",0
6,1351637974690181120,252168075,"['342238818', '185743772', '888382113879396352', '142660444', '2984784171', '1167510078649487361', '1239291711299428353', '1122166021782212608', '1138474230755078145', '1191097616282591232', '2988521818', '1208866490415566848', '3370315654', '4579944141', '625745682', '726110025815568385', '2288939745', '264861047', '139612420', '1241560483', '917604581852565504', '1039476631', '169913805', '1132084412068368384', '244332572', '911644899388387329', '180497066', '2832772595', '3354353541', '1109928103818743808', '329346165', '1065654049918337025', '1329622909661437952', '866852030425518081', '1279759161459380225', '353854993', '2729071072', '865382719118872576', '136689177', '3310367745', '264325355', '753786078713245696', '707733144682766338', '846517759']",0
7,1351638475276222464,252168075,"['185743772', '139612420', '1241560483', '180497066', '290671142', '2832772595', '604908080', '791758832', '4819516888', '721052903151136768', '4220072895', '566854299', '1067373592239845378', '2444494788', '1193738128412102657', '2985850271']",0
8,1351638690964103178,252168075,"['185743772', '1172110744290299905', '139612420', '796906999028006913', '1241560483', '593144854', '180497066', '2832772595', '329346165', '604908080', '1210378599238422528', '296603348', '871158715520626689', '558999984', '791758832', '4819516888', '163249391', '805521127124729857', '4220072895', '556415716', '2444494788', '1193738128412102657', '2985850271']",0
9,1351639009341140992,252168075,"['185743772', '139612420', '1241560483', '180497066', '2832772595', '329346165', '604908080', '1210378599238422528', '871158715520626689', '558999984', '163249391', '721052903151136768', '4220072895', '1203730528349892608', '556415716', '1193738128412102657']",0
10,1351647383063580674,252168075,[],0
11,1351648312194117635,252168075,[],0
12,1351658461294166019,252168075,"['139612420', '2832772595', '1325645613145468928', '604908080', '827048251']",0
13,1351658966925897731,252168075,['4765017923'],0
14,1351640406342193152,252168075,"['139612420', '604908080', '558999984', '163249391']",0
15,1350558226765533191,252168075,[],0
